clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|10|Кардиолог, терапевт|37
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|11|Стоматолог|11
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|12|ЛОР, детский ЛОР|6
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|13|Стоматолог-гигиенист|13
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|14|Уролог, хирург|8
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|15|Стоматолог-гигиенист|3
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|16|Гинеколог, акушер|32
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|17|Стоматолог|11
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|18|Стоматолог-ортодонт|7
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|19|Гемостазиолог|37
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|20|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|21|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|22|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|23|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|24|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|25|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|26|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|27|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|28|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|29|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|30|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|31|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|32|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|33|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|34|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|35|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|36|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|37|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|38|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|39|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|40|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|41|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|42|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|43|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|44|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|45|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|46|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|47|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|48|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|49|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|50|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|51|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|52|-|-
«Клиника Пасман» на Карамзина|https://prodoctorov.ru/novosibirsk/lpu/61690-klinika-pasman-na-karamzina/|53|-|-
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|0|Стоматолог|28
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|1|Стоматолог|22
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|2|Стоматолог|22
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|3|Стоматолог-гигиенист|30
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|4|Стоматолог|22
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|5|Стоматолог|30
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|6|Стоматолог|28
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|7|Стоматолог-хирург, стоматолог-имплантолог|13
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|8|Стоматолог-ортодонт|24
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|9|Стоматолог|29
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|10|Стоматолог-имплантолог, стоматолог-ортопед, стоматолог-хирург|17
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|11|Стоматолог-хирург, стоматолог-имплантолог|5
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|12|Стоматолог|2
Стоматология «Блеск» на площади Карла Маркса|https://prodoctorov.ru/novosibirsk/lpu/41684-stomatologiya-blesk-na-ploshadi-karla-marksa/|13|Стоматолог-гигиенист|3
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|0|Стоматолог|32
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|1|Детский стоматолог|13
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|2|Детский стоматолог|8
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|3|Стоматолог, детский стоматолог|27
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|4|Стоматолог-ортопед, стоматолог-имплантолог, стоматолог-хирург|14
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|5|Детский стоматолог|25
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|6|Детский стоматолог|24
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|7|Стоматолог|2
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|8|Стоматолог|19
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|9|Детский стоматолог|-
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|10|Стоматолог-ортодонт|4
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|11|Детский стоматолог|3
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|12|Детский стоматолог|2
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|13|Стоматолог-ортопед|7
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|14|Стоматолог-хирург, стоматолог-имплантолог|7
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|15|Стоматолог, детский стоматолог, стоматолог-хирург|30
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|16|Анестезиолог-реаниматолог|20
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|17|Стоматолог-ортодонт|32
Стоматология «Блеск» на Советской 64|https://prodoctorov.ru/novosibirsk/lpu/41680-stomatologiya-blesk-na-sovetskoy/|18|Анестезиолог-реаниматолог|32
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|0|Детский стоматолог|5
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|1|Стоматолог-хирург|5
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|2|Стоматолог-ортодонт|5
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|3|Стоматолог, детский стоматолог|11
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|4|Детский стоматолог|30
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|5|Стоматолог-ортопед|11
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|6|Стоматолог|2
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|7|Детский стоматолог|29
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|8|Стоматолог|27
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|9|Стоматолог-хирург, стоматолог-имплантолог|12
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|10|Детский стоматолог|19
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|11|Детский стоматолог|25
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|12|Стоматолог-ортодонт|17
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|13|Детский стоматолог|16
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|14|Детский стоматолог|29
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|15|Детский стоматолог|3
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|16|Стоматолог-ортопед|4
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|17|Челюстно-лицевой хирург|25
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|18|Стоматолог|3
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|19|Анестезиолог-реаниматолог|26
Стоматология «Блеск» на Покрышкина|https://prodoctorov.ru/novosibirsk/lpu/41681-stomatologiya-blesk-na-pokryshkina/|20|-|-
Стоматология «Бель Сорризо»|https://prodoctorov.ru/novosibirsk/lpu/75625-bel-sorriso/|0|Стоматолог-имплантолог, стоматолог-ортопед, стоматолог-хирург|16
Стоматология «Бель Сорризо»|https://prodoctorov.ru/novosibirsk/lpu/75625-bel-sorriso/|1|Стоматолог-ортодонт|8
Стоматология «Бель Сорризо»|https://prodoctorov.ru/novosibirsk/lpu/75625-bel-sorriso/|2|Стоматолог, стоматолог-ортопед|5
Стоматология «Бель Сорризо»|https://prodoctorov.ru/novosibirsk/lpu/75625-bel-sorriso/|3|Стоматолог-хирург|6
Стоматология «Бель Сорризо»|https://prodoctorov.ru/novosibirsk/lpu/75625-bel-sorriso/|4|Стоматолог, детский стоматолог|3
Стоматология «Бель Сорризо»|https://prodoctorov.ru/novosibirsk/lpu/75625-bel-sorriso/|5|Стоматолог-хирург|24
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|0|Стоматолог, стоматолог-ортодонт|5
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|1|Стоматолог-имплантолог, стоматолог-ортопед, стоматолог-хирург|13
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|2|Стоматолог|7
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|3|Стоматолог|5
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|4|Пародонтолог|39
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|5|Стоматолог|38
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|6|Стоматолог-ортопед, функциональный диагност|23
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|7|Стоматолог|-
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|8|Стоматолог|36
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|9|Стоматолог-хирург|1
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|10|Стоматолог|3
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|11|Стоматолог|21
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|12|Детский стоматолог|10
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|13|Детский стоматолог|7
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|14|Анестезиолог-реаниматолог|20
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|15|Стоматолог|2
Стоматология «Блеск» на Кирова|https://prodoctorov.ru/novosibirsk/lpu/41683-stomatologiya-blesk-na-kirova/|16|Стоматолог|6
«Стоматология Сибири»|https://prodoctorov.ru/novosibirsk/lpu/64305-stomatologiya-sibiri/|0|Детский стоматолог|35
«Стоматология Сибири»|https://prodoctorov.ru/novosibirsk/lpu/64305-stomatologiya-sibiri/|1|Стоматолог, пародонтолог|12
«Стоматология Сибири»|https://prodoctorov.ru/novosibirsk/lpu/64305-stomatologiya-sibiri/|2|Стоматолог-гигиенист|19
«Стоматология Сибири»|https://prodoctorov.ru/novosibirsk/lpu/64305-stomatologiya-sibiri/|3|Стоматолог|6
«Стоматология Сибири»|https://prodoctorov.ru/novosibirsk/lpu/64305-stomatologiya-sibiri/|4|Стоматолог-ортопед|35
«Стоматология Сибири»|https://prodoctorov.ru/novosibirsk/lpu/64305-stomatologiya-sibiri/|5|Стоматолог|26
«Стоматология Сибири»|https://prodoctorov.ru/novosibirsk/lpu/64305-stomatologiya-sibiri/|6|Стоматолог|8
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|0|Стоматолог-имплантолог, стоматолог-хирург|18
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|1|Стоматолог-ортопед, стоматолог|15
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|2|Стоматолог|6
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|3|Стоматолог-ортодонт|10
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|4|Стоматолог-ортопед, стоматолог|4
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|5|Стоматолог-ортодонт, стоматолог|7
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|6|Стоматолог|8
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|7|Стоматолог-ортодонт, стоматолог|14
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|8|Стоматолог|13
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|9|Стоматолог, стоматолог-ортопед|10
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|10|Стоматолог|28
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|11|Стоматолог-ортопед, стоматолог|7
Стоматология «Smile Gallery»|https://prodoctorov.ru/novosibirsk/lpu/58619-smile-gallery/|12|Стоматолог-имплантолог, стоматолог-хирург|7
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|0|Стоматолог-хирург, пародонтолог|32
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|1|Стоматолог-ортодонт|24
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|2|Гнатолог, стоматолог-ортопед|38
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|3|Стоматолог-ортопед, стоматолог-хирург|19
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|4|Стоматолог|3
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|5|Стоматолог-ортодонт|6
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|6|Стоматолог-ортодонт|1
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|7|Стоматолог|17
Стоматология «Арт Смайл»|https://prodoctorov.ru/novosibirsk/lpu/55609-art-smayl/|8|Пародонтолог|12
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|0|Стоматолог, пародонтолог, стоматолог-ортопед, стоматолог-хирург|18
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|1|Стоматолог-гигиенист|19
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|2|Стоматолог-ортодонт|8
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|3|Стоматолог, стоматолог-ортопед, стоматолог-хирург|18
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|4|Стоматолог-хирург|12
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|5|Стоматолог|6
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|6|Стоматолог-ортодонт|17
Стоматология «Белый зуб»|https://prodoctorov.ru/novosibirsk/lpu/55381-belyy-zub/|7|Детский стоматолог|22
